genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Podabacia,Fungiidae,1,1,1,3,colonial,foliaceous,,z,,NA,NA,NA,NA
Podoseris,Haplaraeidae,0,1,1,0,solitary,tympanoid,,az,,NA,NA,NA,NA
Pokljukosmilia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Polyastropsis,Thamnasteriidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Polycyathus,Caryophylliidae,1,1,1,1,colonial,lamellar,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Polymorphastraea,Amphiastreidae,0,1,1,1,solitary,dendroid,small,az,,NA,NA,NA,NA
Polyphylloseris,Microsolenidae,0,1,1,3,colonial,lamellar,,z,,Z,"{Tom†s, 2008 #11508}",Corallum shape with depth,1
Pontebbastraea,Protoheterstraeidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Porites,Poritidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Pourtalocyathus,Schizocyathidae,1,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Preverastraea,Aulastraeoporidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Primorodendron,Reimaniphylliidae,0,1,1,1,colonial,dendroid,,az,z,NA,NA,NA,NA
Proaplophyllia,Stylinidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Procyathophora,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Procyclolites,Procyclolitidae,0,1,1,0,solitary,trochoid,large,z,az,NA,NA,NA,NA
Prodonacosmilia,Donacosmiliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Progyrosmilia,Meandrinidae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Proleptophyllia,Acrosmiliidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Promargarosmilia,Margarophylliidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Proretiophyllia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,az,,NA,NA,NA,NA
Protoheterastrea,Protoheterstraeidae,0,1,1,0,solitary,cylindrical,small,az,,NA,NA,NA,NA
Protoseris,Calamophylliidae,0,1,1,3,colonial,foliaceous,,z,,NA,NA,NA,NA
Protostylophyllum,Stylophyllidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Pruvostastraea,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psammocora,Siderastreidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psammocyathus,Caryophylliidae,0,1,1,0,solitary,turbinate,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Psammogyra,Rhipidogyridae,0,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Psammohelia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudisastraea,Faviidae,0,1,1,2,colonial,,,z,,NA,NA,NA,NA
Pseudocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudocoeniopsis,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudodiplocoenia,Amphiastreidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudofavia,Haplaraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudoironella,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Pseudomyriophyllia,Faviidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Pseudopisthophyllum,Amphiastreidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Pseudosiderastrea,Siderastreidae,1,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Psilogyra,Rhipidogyridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Puschastraea,Montlivaltiidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Quenstedtiphyllia,Amphiastraeidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Radiophyllia,Zardinophyllidae,0,1,1,0,solitary,trochoid,small,az,,NA,NA,NA,NA
Recticostastraea,Thamnasteriidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Remismilia,Protoheterastraeidae,0,1,1,1,colonial,phaceloid,,z,,NA,NA,NA,NA
Rennensismilia,Meandrinidae,0,1,1,0,solitary,flabellate,medium,z,az,NA,NA,NA,NA
Retiophyllia,Reimaniphylliidae,0,1,1,1,colonial,phaceloid,,z,az,Z,"{Stanley, 1995 #600}",isotope data from skeleton,3
Reussicoenia,Phyllocoeniidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Reussiphyllon,Fungiidae,0,1,1,3,colonial,lamellar,,z,,NA,NA,NA,NA
Reussopsammia,Dendrophylliidae,0,1,1,1,colonial,dendroid,,az,z,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Rhabdophyllia,Montlivaltiidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Rhabdopsammia,Dendrophylliidae,0,1,1,1,colonial,phaceloid,,az,z,NA,NA,NA,NA
Rhaetiastraea,Pamiroseriidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Rhipidastraea,Rhipidastraeidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Rhipidogyra,Rhipidogyridae,0,1,1,3,colonial,flabellate,,z,,NA,NA,NA,NA
Rhipidomeandra,Rhipidogyridae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Rhipidosmilia,Rhipidogyridae,0,1,1,1,colonial,flabellate,,az,,NA,NA,NA,NA
Rhizangia,Rhizangiidae,0,1,1,1,colonial,reptoid,,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Rhizopsammia,Dendrophylliidae,1,1,1,1,colonial,reptoid,,az,,NA,NA,NA,NA
Rhizotrochus,Flabellidae,1,1,1,0,solitary,turbinate,medium,az,,NA,NA,NA,NA
Rhopalodendron,Conophyllidae,0,1,1,1,colonial,phaceloid,,z,az,NA,NA,NA,NA
Rodinosmilia,Volzeiidae,0,1,1,0,solitary,cylindrical,large,z,,NA,NA,NA,NA
Sakalavastraea,Faviidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Saltocyathus,Rhipidogyridae,0,1,1,0,solitary,trochoid,large,z,,NA,NA,NA,NA
Sandalolitha,Fungiidae,1,1,1,3,colonial,massive,,z,,NA,NA,NA,NA
Scalariogyra,Meandrinidae,0,1,1,4,colonial,massive,,z,,NA,NA,NA,NA
Schizoculina,Oculinidae,1,1,1,2,colonial,ramose,,z,,NA,NA,NA,NA
